Country,Happiness,Normalised_GDP,Social_support,Healthy_life_expectancy,Freedom_life_choices,Generosity,Perceptions_corruption
Finland,7.842,,0.925130935,0.970498474,0.935636038,0.978350515,-0.180811808,0.879341865
Denmark,7.62,,0.93869666,0.970498474,0.944732499,0.975257732,0.055350554,0.886654479
Switzerland,7.571,,0.95449472,0.958290946,0.966823906,0.94742268,0.046125461,0.755027422
Iceland,7.554,,0.933974414,1,0.948630983,0.984536082,0.295202952,0.310786106
Netherlands,7.464,,0.938610801,0.958290946,0.940834016,0.941237113,0.322878229,0.702010969
Norway,7.392,,0.948999742,0.970498474,0.952529466,0.989690722,0.171586716,0.780621572
Sweden,7.363,,0.933029965,0.950152594,0.944732499,0.974226804,0.158671587,0.819012797
Luxembourg,7.324,,1,0.92370295,0.943433005,0.935051546,-0.062730627,0.645338208
New Zealand,7.277,,0.913797544,0.96439471,0.953828961,0.957731959,0.247232472,0.813528336
Austria,7.268,,0.936378467,0.950152594,0.952529466,0.936082474,0.077490775,0.533820841
Australia,7.183,,0.926933974,0.956256358,0.960326433,0.942268041,0.293357934,0.57952468
Israel,7.157,,0.907959131,0.955239064,0.95516744,0.824742268,0.057195572,0.217550274
Germany,7.155,,0.933545119,0.91861648,0.94213351,0.902061856,0.020295203,0.559414991
Canada,7.103,,0.925216794,0.942014242,0.959026939,0.943298969,0.164206642,0.612431444
Ireland,7.085,,0.973812999,0.963377416,0.940834016,0.906185567,0.142066421,0.670932358
Costa Rica,7.069,,0.848287113,0.906408952,0.927839071,0.962886598,-0.232472325,0.151736746
United Kingdom,7.064,,0.919292522,0.950152594,0.94213351,0.88556701,0.429889299,0.559414991
Czech Republic,6.965,,0.90632781,0.963377416,0.920133068,0.884536082,-0.383763838,0.084095064
United States,6.951,,0.946423972,0.935910478,0.886255247,0.862886598,0.180811808,0.281535649
Belgium,6.834,,0.929252168,0.921668362,0.938222032,0.807216495,-0.282287823,0.341864717
France,6.69,,0.919034945,0.958290946,0.961625928,0.84742268,-0.271217712,0.429616088
Bahrain,6.647,,0.916029879,0.876907426,0.9030837,0.953608247,0.164206642,0.254113346
Malta,6.602,,0.916459174,0.947100712,0.938235027,0.955670103,0.245387454,0.334552102
Taiwan Province of China,6.584,,0.933373401,0.91353001,0.90444817,0.808247423,-0.129151292,0.254113346
United Arab Emirates,6.561,,0.951747231,0.858596134,0.874988629,0.960824742,0.136531365,0.407678245
Saudi Arabia,6.494,,0.922383446,0.906408952,0.86550232,0.904123711,-0.274907749,0.297989031
Spain,6.491,,0.907615695,0.948118006,0.970722389,0.784536082,-0.149446494,0.226691042
Italy,6.483,,0.912080364,0.895218718,0.959026939,0.71443299,-0.15498155,0.085923218
Slovenia,6.461,,0.904009616,0.96439471,0.927839071,0.978350515,-0.186346863,0.155393053
Guatemala,6.435,,0.777281703,0.82706002,0.844125635,0.934020619,-0.070110701,0.191956124
Uruguay,6.431,,0.855670988,0.940996948,0.897950697,0.92371134,-0.169741697,0.407678245
Singapore,6.377,,0.986348416,0.930824008,1,0.955670103,-0.033210332,1
Kosovo,6.372,,0.800034344,0.835198372,0.829246423,0.895876289,0.474169742,0.02559415
Slovakia,6.331,,0.890272173,0.952187182,0.899263187,0.789690722,-0.228782288,0.032906764
Brazil,6.33,,0.82227183,0.897253306,0.86547633,0.828865979,-0.13099631,0.213893967
Mexico,6.317,,0.846484073,0.845371312,0.89141424,0.888659794,-0.271217712,0.162705667
Jamaica,6.309,,0.788700953,0.892166836,0.877158785,0.917525773,-0.252767528,0.063985375
Lithuania,6.255,,0.901433846,0.951169888,0.882434733,0.796907216,-0.374538745,0.13345521
Cyprus,6.223,,0.90804499,0.815869786,0.960300443,0.786597938,-0.027675277,0.111517367
Estonia,6.189,,0.899888383,0.957273652,0.894052214,0.937113402,-0.195571956,0.480804388
Panama,6.18,,0.888640852,0.911495422,0.905123907,0.898969072,-0.306273063,0.096892139
Uzbekistan,6.179,,0.758650296,0.93387589,0.847985134,1,0.573800738,0.495429616
Chile,6.172,,0.864686185,0.897253306,0.909646148,0.764948454,-0.081180812,0.12797075
Poland,6.166,,0.89138834,0.91353001,0.905773654,0.867010309,-0.304428044,0.237659963
Kazakhstan,6.152,,0.871898343,0.968463886,0.847270412,0.879381443,-0.127306273,0.241316271
Romania,6.14,,0.882974156,0.846388606,0.875274518,0.871134021,-0.404059041,0.001828154
Kuwait,6.106,,0.928737014,0.85757884,0.869361818,0.893814433,-0.191881919,0.237659963
Serbia,6.078,,0.840302224,0.88809766,0.891453225,0.802061856,0.003690037,0.120658135
El Salvador,6.061,,0.777367562,0.775178026,0.862890336,0.915463918,-0.20295203,0.29250457
Mauritius,6.049,,0.859277067,0.920651068,0.866775824,0.893814433,-0.099630996,0.175502742
Latvia,6.032,,0.885635786,0.943031536,0.871960807,0.737113402,-0.298892989,0.162705667
Colombia,6.012,,0.820554649,0.861648016,0.883669253,0.862886598,-0.249077491,0.115173675
Hungary,5.992,,0.889327724,0.95930824,0.883656258,0.778350515,-0.343173432,0.073126143
Thailand,5.985,,0.841847686,0.90335707,0.875872286,0.911340206,0.529520295,0.0511883
Nicaragua,5.972,,0.740104748,0.878942014,0.879198992,0.86185567,0.036900369,0.321755027
Japan,5.94,,0.911050056,0.899287894,0.975920367,0.820618557,-0.47601476,0.351005484
Argentina,5.929,,0.855327552,0.91353001,0.896651203,0.853608247,-0.335793358,0.122486289
Portugal,5.929,,0.894736842,0.894201424,0.943433005,0.919587629,-0.450184502,0.060329068
Honduras,5.919,,0.742508801,0.826042726,0.874559796,0.883505155,0.149446494,0.151736746
Croatia,5.882,,0.877221602,0.939979654,0.920029109,0.777319588,-0.217712177,0
Philippines,5.88,,0.779256461,0.844354018,0.805686588,0.945360825,-0.17896679,0.230347349
South Korea,5.845,,0.914484417,0.812817904,0.960326433,0.692783505,-0.153136531,0.246800731
Peru,5.84,,0.812054606,0.846388606,0.886904994,0.84742268,-0.284132841,0.056672761
Bosnia and Herzegovina,5.813,,0.823387997,0.885045778,0.884929762,0.727835052,0.208487085,0.009140768
Moldova,5.766,,0.81171117,0.871820956,0.853754889,0.84742268,-0.145756458,0.023765996
Ecuador,5.764,,0.799605049,0.835198372,0.894052214,0.868041237,-0.228782288,0.113345521
Kyrgyzstan,5.744,,0.733064308,0.90844354,0.836887451,0.963917526,0.219557196,0.036563071
Greece,5.723,,0.882544861,0.83723296,0.943433005,0.6,-0.531365314,0.135283364
Bolivia,5.716,,0.77668069,0.824008138,0.830389978,0.902061856,-0.142066421,0.117001828
Mongolia,5.677,,0.807074783,0.951169888,0.81218406,0.729896907,0.21402214,0.096892139
Paraguay,5.653,,0.811196016,0.90844354,0.856366873,0.903092784,0.051660517,0.067641682
Montenegro,5.581,,0.853438654,0.87283825,0.892739724,0.729896907,-0.062730627,0.148080439
Dominican Republic,5.545,,0.841590109,0.86775178,0.858991852,0.886597938,-0.245387454,0.263254113
North Cyprus,5.536,,0.90804499,0.834181078,0.960300443,0.819587629,0.022140221,0.365630713
Belarus,5.534,,0.845968919,0.925737538,0.860954089,0.670103093,-0.332103321,0.363802559
Russia,5.477,,0.87481755,0.91861648,0.840811924,0.740206186,-0.204797048,0.109689214
Hong Kong S.A.R. of China,5.477,,0.944449214,0.850457782,0.998271672,0.739175258,0.123616236,0.625228519
Tajikistan,5.466,,0.694685327,0.874872838,0.835328057,0.857731959,-0.103321033,0.451553931
Vietnam,5.411,,0.770412982,0.864699898,0.884098086,0.969072165,-0.180811808,0.166361974
Libya,5.41,,0.826135486,0.841302136,0.809585071,0.794845361,-0.160516605,0.31809872
Malaysia,5.384,,0.879024642,0.831129196,0.871986797,0.922680412,0.230627306,0.117001828
Indonesia,5.345,,0.804069718,0.825025432,0.808753395,0.9,1,0.084095064
Congo (Brazzaville),5.342,,0.696917661,0.646998983,0.756578691,0.716494845,-0.125461255,0.226691042
China,5.339,,0.830514296,0.825025432,0.904357205,0.931958763,-0.269372694,0.213893967
Ivory Coast,5.306,,0.734180476,0.655137335,0.651228672,0.763917526,-0.029520295,0.168190128
Armenia,5.283,,0.814544518,0.812817904,0.871376035,0.850515464,-0.3099631,0.361974406
Nepal,5.269,,0.697175238,0.787385554,0.8347043,0.806185567,0.280442804,0.246800731
Bulgaria,5.266,,0.859963939,0.947100712,0.870661313,0.812371134,-0.177121771,0.009140768
Maldives,5.198,,0.843650726,0.92878942,0.917443115,0.880412371,0.044280443,0.13345521
Azerbaijan,5.171,,0.821584957,0.850457782,0.853196107,0.839175258,-0.411439114,0.504570384
Cameroon,5.142,,0.703099511,0.722278739,0.69542448,0.753608247,0.04797048,0.106032907
Senegal,5.132,,0.69700352,0.722278739,0.777123699,0.716494845,-0.084870849,0.160877514
Albania,5.117,,0.817377866,0.709053917,0.896638208,0.809278351,-0.055350554,0.043875686
North Macedonia,5.101,,0.832231476,0.818921668,0.850831027,0.774226804,0.070110701,0.040219378
Ghana,5.088,,0.736670387,0.739572737,0.748326901,0.831958763,0.226937269,0.106032907
Niger,5.074,,0.60942732,0.652085453,0.69886814,0.830927835,0.033210332,0.28702011
Turkmenistan,5.066,,0.826736499,1,0.81100152,0.904123711,0.503690037,0.060329068
Gambia,5.051,,0.659912424,0.701932859,0.716801164,0.718556701,0.782287823,0.224862888
Benin,5.045,,0.694341891,0.497456765,0.710992424,0.780412371,-0.062730627,0.325411335
Laos,5.03,,0.768180647,0.740590031,0.766285915,0.93814433,0.226937269,0.327239488
Bangladesh,5.025,,0.725852151,0.704984741,0.842072434,0.904123711,-0.075645756,0.299817185
Guinea,4.984,,0.672962995,0.650050865,0.714825933,0.718556701,0.175276753,0.202925046
South Africa,4.956,,0.80733236,0.874872838,0.739464348,0.772164948,-0.123616236,0.093235832
Turkey,4.948,,0.87919636,0.836215666,0.873247307,0.593814433,-0.256457565,0.190127971
Pakistan,4.934,,0.726195587,0.662258393,0.762920224,0.748453608,0.180811808,0.177330896
Morocco,4.918,,0.764402851,0.569684639,0.860369316,0.797938144,-0.435424354,0.160877514
Venezuela,4.892,,0.778998884,0.875890132,0.866762829,0.634020619,-0.311808118,0.131627057
Georgia,4.891,,0.822958702,0.682604273,0.835574961,0.807216495,-0.439114391,0.330895795
Algeria,4.887,,0.80209496,0.815869786,0.857731343,0.494845361,-0.123616236,0.219378428
Ukraine,4.875,,0.810165708,0.90335707,0.843397918,0.746391753,-0.020295203,0.018281536
Iraq,4.854,,0.79333734,0.758901322,0.787272751,0.649484536,-0.097785978,0.074954296
Gabon,4.852,,0.824504164,0.789420142,0.77920289,0.753608247,-0.36900369,0.117001828
Burkina Faso,4.834,,0.659225552,0.683621567,0.703689265,0.716494845,-0.016605166,0.223034735
Cambodia,4.83,,0.717781403,0.778229908,0.805686588,0.988659794,0.062730627,0.111517367
Mozambique,4.794,,0.614578862,0.756866734,0.710901459,0.909278351,0.112546125,0.297989031
Nigeria,4.759,,0.732635013,0.752797558,0.651072733,0.759793814,0.068265683,0.071297989
Mali,4.723,,0.664892247,0.736520855,0.675334295,0.718556701,-0.066420664,0.131627057
Iran,4.721,,0.822872843,0.722278739,0.861564851,0.626804124,0.402214022,0.263254113
Uganda,4.636,,0.659139693,0.794506612,0.729029408,0.730927835,0.225092251,0.098720293
Liberia,4.625,,0.625740534,0.732451679,0.734188401,0.757731959,0.092250923,0.104204753
Kenya,4.607,,0.717867262,0.699898271,0.788845139,0.803092784,0.529520295,0.13345521
Tunisia,4.596,,0.795569675,0.702950153,0.873273297,0.67628866,-0.370848708,0.080438757
Lebanon,4.584,,0.826478922,0.86266531,0.875274518,0.541237113,-0.134686347,0.047531993
Namibia,4.574,,0.786554478,0.83214649,0.738099879,0.741237113,-0.274907749,0.10786106
Palestinian Territories,4.517,,0.72851378,0.840284842,0.808935324,0.673195876,-0.300738007,0.137111517
Myanmar,4.426,,0.733321885,0.792472024,0.770626226,0.903092784,0.939114391,0.325411335
Jordan,4.395,,0.788357517,0.780264496,0.870661313,0.778350515,-0.308118081,0.274223035
Chad,4.355,,0.63226582,0.629704985,0.629968942,0.596907216,0.075645756,0.153564899
Sri Lanka,4.325,,0.813084915,0.841302136,0.874546801,0.867010309,0.145756458,0.089579525
Swaziland,4.308,,0.778312012,0.783316378,0.660572037,0.667010309,-0.341328413,0.268738574
Comoros,4.289,,0.689533786,0.636826043,0.745247099,0.564948454,0.151291513,0.18464351
Egypt,4.283,,0.804241436,0.762970498,0.805660598,0.772164948,-0.335793358,0.168190128
Ethiopia,4.275,,0.660599296,0.777212614,0.766701753,0.775257732,0.151291513,0.208409506
Mauritania,4.227,,0.733407744,0.808748728,0.742804049,0.578350515,-0.195571956,0.243144424
Madagascar,4.208,,0.635013308,0.697863683,0.770665211,0.569072165,-0.009225092,0.15904936
Togo,4.107,,0.632094101,0.578840285,0.713604408,0.63814433,0.05904059,0.195612431
Zambia,4.073,,0.699321714,0.720244151,0.725234884,0.806185567,0.112546125,0.135283364
Sierra Leone,3.849,,0.638275951,0.640895219,0.671201902,0.739175258,0.15498155,0.085923218
India,3.819,,0.751695716,0.613428281,0.787922498,0.920618557,0.164206642,0.193784278
Burundi,3.775,,0.569674594,0.498474059,0.693930061,0.645360825,-0.044280443,0.387568556
Yemen,3.658,,0.65063965,0.846388606,0.742297246,0.620618557,-0.271217712,0.162705667
Tanzania,3.623,,0.676225638,0.714140387,0.753693813,0.858762887,0.337638376,0.422303473
Haiti,3.615,,0.641967889,0.549338759,0.723818435,0.611340206,0.778597786,0.254113346
Malawi,3.6,,0.597407058,0.546286877,0.753031071,0.804123711,0.070110701,0.244972578
Lesotho,3.512,,0.680518588,0.800610376,0.63285382,0.737113402,-0.241697417,0.027422303
Botswana,3.467,,0.839872929,0.797558494,0.770197393,0.849484536,-0.453874539,0.160877514
Rwanda,3.415,,0.659053834,0.561546287,0.797889621,0.924742268,0.112546125,0.901279707
Zimbabwe,3.145,,0.681978192,0.762970498,0.730328902,0.697938144,-0.086715867,0.137111517
Afghanistan,2.523,,0.660685155,0.471007121,0.682143646,0.393814433,-0.188191882,0.018281536
